phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"готовые бани дерева","66","Омск","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовые бани дерева","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовые бани новосибирск","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"дешевые готовые бани под ключ","11318","Омская область","5","top","баня под ключ|готовая баня","assigned","commercial","high","signals","landing","B08","Что входит в баню под ключ","12","бан* под ключ|готов* бан* под ключ"
"зима баня веники","11318","Омская область","5","top","баня зимой","unassigned","unmapped","none","none","hold","","","",""
"изготовление каркасной бани","66","Омск","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"изготовление каркасной бани","11318","Омская область","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"инструкция строительства каркасной бани","66","Омск","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"инструкция строительства каркасной бани","11318","Омская область","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"как залить ленточный фундамент под баню","66","Омск","5","top","фундамент под баню","assigned","informational","high","signals","guide","B14","Фундамент для мобильной или готовой бани","6","фундамент под бан*"
"как залить ленточный фундамент под баню","11318","Омская область","5","top","фундамент под баню","assigned","informational","high","signals","guide","B14","Фундамент для мобильной или готовой бани","6","фундамент под бан*"
"как крепить кедровую вагонку в бане","66","Омск","5","top","кедровая баня","unassigned","informational","high","signals","guide","","","",""
"как крепить кедровую вагонку в бане","11318","Омская область","5","top","кедровая баня","unassigned","informational","high","signals","guide","","","",""
"как сделать каркасную баню","11318","Омская область","5","association|top","баня под ключ|каркасная баня","assigned","informational","medium","intent-tiebreak","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"как утеплить баню зимой","66","Омск","5","top","баня зимой","assigned","informational","high","signals","guide","B17","Использование бани зимой в Омске","4","бан* зимой"
"как утеплить каркасную баню изнутри","11318","Омская область","5","top","каркасная баня","assigned","informational","high","signals","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"какая должна быть полусухая стяжка пола","66","Омск","5","top","полусухая стяжка","assigned","informational","high","signals","guide","S01","Полусухая или мокрая стяжка","8","полусух* стяжк*|стяжка пола"
"какая толщина полусухой стяжки","11318","Омская область","5","top","полусухая стяжка","assigned","informational","medium","intent-tiebreak","guide","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"какая штукатурка лучше механическая или механизированная","66","Омск","5","top","механизированная штукатурка","unassigned","informational","high","signals","guide","","","",""
"какая штукатурка лучше механическая или механизированная","11318","Омская область","5","top","механизированная штукатурка","unassigned","informational","high","signals","guide","","","",""
"какой утеплитель использовать для каркасной бани","11318","Омская область","5","top","каркасная баня","assigned","informational","high","signals","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня 6х4","66","Омск","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня 6х4","11318","Омская область","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня на сваях своими руками пошаговая","11318","Омская область","5","top","каркасная баня","assigned","informational","high","signals","guide","B14","Фундамент для мобильной или готовой бани","6","бан* на сва*"
"каркасная баня от начала до конца","11318","Омская область","5","top","каркасная баня","assigned","informational","low","intent-default","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня под ключ","11318","Омская область","5","top","баня под ключ|каркасная баня","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"каркасная баня с односкатной крышей","66","Омск","5","top","каркасная баня","assigned","informational","low","intent-default","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня с односкатной крышей","11318","Омская область","5","top","каркасная баня","assigned","informational","low","intent-default","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня своими руками чертежи","66","Омск","5","top","каркасная баня","assigned","informational","high","signals","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня своими руками чертежи","11318","Омская область","5","top","каркасная баня","assigned","informational","high","signals","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная баня форум","11318","Омская область","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"каркасная моечная баня","66","Омск","5","top","каркасная баня","assigned","informational","low","intent-default","guide","B06","Планировка: парная, мойка и комната отдыха","2","моечн*"
"каркасные бани ключ","11318","Омская область","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"компания бурения и ремонта скважин","66","Омск","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"компания бурения и ремонта скважин","11318","Омская область","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"крыша каркасной бани своими руками","66","Омск","5","top","каркасная баня","assigned","informational","high","signals","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"крыша каркасной бани своими руками","11318","Омская область","5","top","каркасная баня","assigned","informational","high","signals","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"купить мобильную баню палатку","66","Омск","5","top","мобильная баня","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","мобильн* бан*"
