phrase,region_id,region_name,count,types,seeds
"чат джипити нейросеть на русском","225","Россия","27671","top","нейросети"
"генератор нейросети бесплатно","225","Россия","27596","top","бесплатные нейросети|нейросети"
"деепсик","225","Россия","27546","association","дипсик"
"нейросеть сгенерировать онлайн бесплатно","225","Россия","27428","top","бесплатные нейросети|нейросети"
"фото с помощью нейросети","225","Россия","27298","top","нейросети"
"n8n","225","Россия","27129","top","n8n"
"нейросеть джипити на русском бесплатно","225","Россия","26809","top","бесплатные нейросети|нейросети"
"нейросеть голос","225","Россия","26716","top","нейросети"
"нейросеть слушать","225","Россия","26599","top","нейросети"
"нейросеть качество","225","Россия","26598","top","нейросети"
"нейросеть сик","225","Россия","26522","top","нейросети"
"нейросеть 18","225","Россия","26395","association|top","api нейросети|нейросети|нейросеть для кода"
"чат джипити нейросеть бесплатно","225","Россия","26170","top","бесплатные нейросети|нейросети"
"джемени","225","Россия","26028","association","gemini"
"дип сик нейросеть","225","Россия","25992","top","нейросети"
"джипити чат нейросеть на русском бесплатно","225","Россия","25851","top","бесплатные нейросети|нейросети"
"нейросеть для изображений бесплатно","225","Россия","25813","top","бесплатные нейросети|нейросети"
"deepseek нейросеть","225","Россия","25784","association|top","api нейросети|deepseek|мошенничество с нейросетями|нейросети"
"дипсик бесплатно","225","Россия","25605","top","дипсик"
"сгенерировать фото нейросетью","225","Россия","25559","association|top","нейросети|нейросеть для генерации изображений"
"gemini в россии","225","Россия","25479","top","gemini"
"нейросеть русская без регистрации","225","Россия","25185","top","нейросети"
"нейросеть на русском бесплатно без регистрации","225","Россия","24598","top","бесплатные нейросети|нейросети"
"нейросети онлайн на русском","225","Россия","24499","top","нейросети"
"обработка фото нейросетью","225","Россия","24463","top","нейросети"
"гамма нейросеть для презентаций","225","Россия","24369","top","нейросети"
"neural","225","Россия","24273","association","нейросети"
"квин нейросеть","225","Россия","24214","top","нейросети"
"нейросеть редактор","225","Россия","24180","top","нейросети"
"промты для нейросети","225","Россия","24152","top","нейросети"
"бот нейросеть","225","Россия","24115","top","нейросети"
"создать фото нейросеть","225","Россия","23906","top","нейросети"
"клод нейросеть","225","Россия","23624","top","нейросети"
"нейросети онлайн бесплатно на русском","225","Россия","23581","top","бесплатные нейросети|нейросети"
"gemini flash","225","Россия","23576","top","gemini"
"картинки создаваемые нейросетью","225","Россия","23379","top","нейросети"
"нейросеть создать картинку","225","Россия","23379","top","нейросети"
"нейросеть онлайн бесплатно помощь","225","Россия","23350","top","бесплатные нейросети|нейросети"
"создать с помощью нейросети бесплатно","225","Россия","23316","top","бесплатные нейросети|нейросети"
"huter glm","225","Россия","23277","top","glm"
"нейросеть поиск","225","Россия","23254","top","нейросети"
"нейросеть девушка","225","Россия","23093","top","нейросети"
"скачать песни нейросеть","225","Россия","22842","top","нейросети"
"chat нейросеть","225","Россия","22735","top","нейросети"
"нейросеть для генерации фото","225","Россия","22472","top","нейросети"
"вайбкодинг","225","Россия","22441","association","вайб кодинг"
"нейросеть самому","225","Россия","22390","top","нейросети"
"газонокосилки glm","225","Россия","22342","top","glm"
"нейросеть ли","225","Россия","21999","top","нейросети"
"gpt нейросеть бесплатно","225","Россия","21538","top","бесплатные нейросети|нейросети"
"какие есть нейросети","225","Россия","21294","association|top","бесплатные нейросети|нейросети"
"нейросеть для генерации изображений бесплатно","225","Россия","21027","top","бесплатные нейросети|нейросети|нейросеть для генерации изображений"
"нейросеть изменить","225","Россия","20990","top","нейросети"
"нейросеть изменяющая","225","Россия","20990","top","нейросети"
"сделать с помощью нейросетей","225","Россия","20846","top","нейросети"
"deepl","225","Россия","20815","association","deepseek"
"бесплатная нейросеть для генерации изображений","225","Россия","20724","association","бесплатные нейросети"
"нейросеть генерирует","225","Россия","20607","top","нейросети"
"алиса нейросеть фото","225","Россия","20563","top","нейросети"
"нейросеть картинки онлайн","225","Россия","20241","top","нейросети"
"qwen сайт","225","Россия","20187","top","qwen"
"qwen нейросеть официальный","225","Россия","19866","top","qwen|нейросети"
"нейросеть по описанию","225","Россия","19769","top","нейросети"
"нейросеть chat gpt","225","Россия","19657","top","нейросети"
"qwen официальный сайт","225","Россия","19620","top","qwen"
"работа с нейросетями","225","Россия","19507","top","нейросети"
"самая нейросеть","225","Россия","19487","top","нейросети"
"текст с помощью нейросети","225","Россия","19479","top","нейросети"
"нейросеть 2026","225","Россия","19395","top","нейросети"
"нейросеть ответы на вопросы","225","Россия","19337","top","нейросети"
"дипсик онлайн","225","Россия","19286","top","дипсик"
"ии алиса нейросеть бесплатно","225","Россия","18990","top","бесплатные нейросети|нейросети"
"написать нейросеть онлайн","225","Россия","18887","top","нейросети"
"нейросеть фото онлайн без регистрации","225","Россия","18883","top","нейросети"
"бесплатные нейросети chat","225","Россия","18857","top","бесплатные нейросети|нейросети"
"нейросеть кандинский","225","Россия","18458","top","нейросети"
"gemini pro","225","Россия","18424","top","gemini"
"deppseek","225","Россия","18369","association","deepseek"
"gemini omni","225","Россия","18347","top","gemini"
"язык нейросетей","225","Россия","18246","top","нейросети"
"лучшие бесплатные нейросети","225","Россия","18133","association|top","бесплатные нейросети|нейросети"
"нейросеть для написания","225","Россия","18072","top","нейросети"
"code80","225","Россия","18034","association","codex"
"обработка нейросеть бесплатно","225","Россия","17921","top","бесплатные нейросети|нейросети"
"нейросеть данные","225","Россия","17905","top","нейросети"
"gpt нейросеть на русском","225","Россия","17877","top","нейросети"
"запрос для нейросети","225","Россия","17849","top","нейросети"
"нейросеть генератор текста","225","Россия","17805","top","нейросети"
"нейросеть для создания видео","225","Россия","17761","top","нейросети"
"написать с помощью нейросети","225","Россия","17699","top","нейросети"
"нейросеть ела","225","Россия","17690","top","нейросети"
"дипсик на русском бесплатно","225","Россия","17662","top","дипсик"
"qwen нейросеть сайт","225","Россия","17659","top","qwen|нейросети"
