phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"нейросети бесплатно на русском языке без регистрации","225","Россия","5466","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"генерация фото нейросетью онлайн бесплатно","225","Россия","5406","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"glm 5.2","225","Россия","5399","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"нейросеть для генерации бесплатно на русском","225","Россия","5366","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"qwen plus","225","Россия","5363","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"сайт с нейросетями бесплатно","225","Россия","5351","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"приложение дипсик","225","Россия","5339","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"deepseek нейросеть на русском","225","Россия","5308","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"se llama","225","Россия","5304","top","llama","assigned","informational","low","intent-default","guide","MD08","Локальные модели и Ollama","2","llama*"
"улучшить фото онлайн бесплатно нейросеть","225","Россия","5285","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","бесплатн* нейросет*"
"нейросеть для генерации бесплатно без регистрации","225","Россия","5250","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть песни слушать бесплатно","225","Россия","5245","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"генератор нейросеть онлайн бесплатно","225","Россия","5240","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"дипсик новый чат","225","Россия","5233","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"qwen 3","225","Россия","5209","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"создание нейросети онлайн бесплатно","225","Россия","5173","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini ии","225","Россия","5168","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gigachat алиса","225","Россия","5155","top","gigachat","assigned","informational","low","intent-default","guide","MD07","GigaChat","2","gigachat*"
"нейросеть добавить фото бесплатно","225","Россия","5140","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"почему gemini","225","Россия","5128","top","gemini","assigned","informational","high","signals","guide","MD04","Gemini","2","gemini*"
"qwen code","225","Россия","5122","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"qwen coding","225","Россия","5122","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"нейросеть генерирует бесплатно","225","Россия","5116","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"скачать бесплатно дипсик","225","Россия","5112","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"дипсик не работает","225","Россия","5101","association|top","deepseek|дипсик","assigned","informational","high","signals","guide","MD03","DeepSeek","2","дипсик*"
"нейросеть редактор фото онлайн бесплатно","225","Россия","5079","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini работает в россии","225","Россия","5048","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"нейросеть презентация создать бесплатно","225","Россия","5017","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini как пользоваться в россии","225","Россия","5015","top","gemini","assigned","informational","high","signals","guide","MD04","Gemini","2","gemini*"
"ии алиса нейросеть бесплатно создать","225","Россия","4986","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"картинки с помощью нейросетей бесплатно","225","Россия","4970","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть поиск бесплатно","225","Россия","4962","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"создать фото нейросетью онлайн бесплатно","225","Россия","4945","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть фото бесплатно яндекс","225","Россия","4925","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть оживи фото онлайн бесплатно","225","Россия","4919","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"оживить фото онлайн бесплатно нейросеть","225","Россия","4917","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","бесплатн* нейросет*"
"генерация картинок нейросетью бесплатно","225","Россия","4912","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","IN04","Генерация изображений","4","генераци* картинок*"
"qwen image","225","Россия","4894","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"сайт нейросеть фото бесплатно","225","Россия","4888","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть для создания презентаций бесплатно","225","Россия","4874","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini nano","225","Россия","4868","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"нейросеть оживление бесплатно","225","Россия","4864","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"glm flash","225","Россия","4852","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"gigachat как получить","225","Россия","4845","top","gigachat","assigned","informational","high","signals","guide","MD07","GigaChat","2","gigachat*"
"фотография с помощью нейросети бесплатно","225","Россия","4826","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"сгенерировать пост нейросеть бесплатно","225","Россия","4784","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"скачать бесплатно картинку нейросеть","225","Россия","4746","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"что делает дипсик","225","Россия","4745","top","дипсик","assigned","informational","high","signals","guide","MD03","DeepSeek","2","дипсик*"
"huter glm 5.0","225","Россия","4710","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"gigachat от сбера","225","Россия","4699","top","gigachat","assigned","informational","low","intent-default","guide","MD07","GigaChat","2","gigachat*"
"бесплатно сгенерировать изображение в нейросети","225","Россия","4673","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть яндекс картинки бесплатно","225","Россия","4658","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"deepseek v4 flash","225","Россия","4658","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"нейросеть картинки сайт бесплатно","225","Россия","4644","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть можно бесплатно","225","Россия","4630","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"сгенерировать изображение нейросеть бесплатно фото","225","Россия","4617","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть любые картинки бесплатно","225","Россия","4614","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"яндекс с нейросетью скачать бесплатно","225","Россия","4602","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"сгенерировать картинку из фото нейросеть бесплатно","225","Россия","4596","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","IN04","Генерация изображений","4","сгенерировать картинк*"
"создать через нейросеть бесплатно","225","Россия","4596","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"qwen 3.5","225","Россия","4591","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"из фото в картинку нейросеть бесплатно","225","Россия","4589","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"сгенерировать картинку нейросеть яндекс бесплатно","225","Россия","4560","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","IN04","Генерация изображений","4","сгенерировать картинк*"
"поиск с нейросетью яндекс бесплатно","225","Россия","4556","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini на пк","225","Россия","4517","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"сгенерировать сайт нейросеть бесплатно","225","Россия","4503","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"qwen 3.6","225","Россия","4499","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"дипсик начать","225","Россия","4492","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"фото через нейросеть бесплатно","225","Россия","4473","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"ии алиса нейросеть бесплатно фото","225","Россия","4458","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть логотип бесплатно","225","Россия","4452","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"kuppersberg glm","225","Россия","4451","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"лимит в дипсике","225","Россия","4432","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"как сделать gemini","225","Россия","4431","top","gemini","assigned","informational","high","signals","guide","MD04","Gemini","2","gemini*"
"достигнут предел длины дипсик","225","Россия","4426","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"нейросеть онлайн бесплатно лицо","225","Россия","4421","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"цензура дипсик","225","Россия","4411","top","дипсик","assigned","commercial","medium","signals","landing","MD03","DeepSeek","2","дипсик*"
"дипсик на русском скачать","225","Россия","4384","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"создать видео с помощью нейросети бесплатно","225","Россия","4359","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросети онлайн бесплатно музыка","225","Россия","4351","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"гугл gemini","225","Россия","4341","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gemini 3","225","Россия","4326","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"qwen coder","225","Россия","4317","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"glm купить","225","Россия","4298","top","glm","assigned","commercial","medium","signals","landing","MD06","GLM / Zhipu","2","glm*"
"gemini banana","225","Россия","4263","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"дипсик личный","225","Россия","4232","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"как включить gemini","225","Россия","4232","top","gemini","assigned","informational","high","signals","guide","MD04","Gemini","2","gemini*"
"ии нейросеть бесплатно без регистрации","225","Россия","4225","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"презентация нейросеть бесплатно на русском","225","Россия","4181","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"реставрация нейросеть бесплатно","225","Россия","4180","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"сделать видео нейросеть бесплатно","225","Россия","4167","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"glm 5.3 flash","225","Россия","4117","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"gemini языковая модель","225","Россия","4105","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"bosch glm","225","Россия","4103","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"дипсик войти","225","Россия","4092","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"дипсик личный кабинет","225","Россия","4079","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"glm 6.0","225","Россия","4049","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"чат deepseek","225","Россия","4038","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"deepseek pro","225","Россия","4015","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"сайте gigachat","225","Россия","4006","top","gigachat","assigned","informational","low","intent-default","guide","MD07","GigaChat","2","gigachat*"
"сайт дипсик","225","Россия","4003","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"хутер glm","225","Россия","3987","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"газонокосилка glm 5.0","225","Россия","3986","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"gemini nano banana","225","Россия","3957","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gigachat от сбера официальный","225","Россия","3957","top","gigachat","assigned","informational","low","intent-default","guide","MD07","GigaChat","2","gigachat*"
"gemini apk","225","Россия","3955","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"https chat deepseek","225","Россия","3921","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"gigachat официальный сайт","225","Россия","3899","top","gigachat","assigned","informational","low","intent-default","guide","MD07","GigaChat","2","gigachat*"
"gemini 2","225","Россия","3898","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"qwen 3.7 plus","225","Россия","3874","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"gigachat от сбера официальный сайт","225","Россия","3852","top","gigachat","assigned","informational","low","intent-default","guide","MD07","GigaChat","2","gigachat*"
"gemini 3.1","225","Россия","3837","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gemini google скачать","225","Россия","3834","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gemini key","225","Россия","3824","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"https chat deepseek com","225","Россия","3806","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"qwen не работает","225","Россия","3801","top","qwen","assigned","informational","high","signals","guide","MD05","Qwen и китайские модели","2","qwen*"
"дипсик нейросеть скачать","225","Россия","3797","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"сервера gemini","225","Россия","3756","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gemini gpt","225","Россия","3747","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"gemini google ai","225","Россия","3706","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"нейросеть для кода","225","Россия","3672","top","нейросеть для кода","assigned","informational","low","intent-default","guide","MD01","Как выбрать модель для кода","6","нейросет* для код*"
"glm 5.0 st","225","Россия","3655","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"дипсик онлайн бесплатно","225","Россия","3624","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
